Type,PW,PL,SW,SL
0,2,14,33,50
1,24,56,31,67
1,23,51,31,69
0,2,10,36,46
1,20,52,30,65
1,19,51,27,58
1,17,45,25,49
0,2,16,31,48
1,19,50,25,63
0,1,14,36,49
0,2,13,32,44
1,18,49,27,63
0,2,16,38,51
0,2,16,30,50
1,21,56,28,64
0,4,19,38,51
0,2,14,30,49
0,2,14,36,50
1,19,51,27,58
0,4,15,34,54
1,18,55,31,64
0,2,14,42,55
1,15,50,22,60
0,2,14,29,44
1,23,57,32,69
1,20,49,28,56
1,18,58,25,67
1,21,54,31,69
1,25,61,36,72
1,21,55,30,68
0,1,14,30,48
0,3,17,38,57
0,4,15,37,51
1,22,56,28,64
1,15,51,28,63
1,23,59,32,68
1,23,54,34,62
1,25,57,33,67
0,2,13,35,55
1,18,51,30,59
1,23,53,32,64
1,21,57,33,67
0,2,13,30,44
0,2,16,32,47
1,18,60,32,72
1,18,49,30,61
0,2,12,32,50
0,1,11,30,43
0,2,14,35,51
0,4,16,34,50
1,23,61,30,77
0,1,15,41,52
1,18,48,30,60
0,2,15,31,49
0,4,17,39,54
0,2,13,32,47
0,2,15,34,51
0,1,15,31,49
0,2,15,37,54
0,4,13,39,54
1,20,51,32,65
0,3,13,23,45
0,3,15,38,51
0,2,15,35,52
1,25,60,33,63
0,3,14,34,46
1,18,55,30,65
0,5,17,33,51
1,22,67,38,77
1,21,66,30,76
1,13,52,30,67
0,2,14,34,52
1,20,64,38,79
0,6,16,35,50
1,20,67,28,77
0,3,14,30,48
0,2,19,34,48
1,14,56,26,61
0,2,12,40,58
1,18,48,28,62
0,2,14,32,46
0,4,15,44,57
1,24,56,34,63
1,16,58,30,72
1,21,59,30,71
1,18,56,29,63
1,23,69,26,77
0,2,15,34,52
0,2,15,31,46
1,19,61,28,74
0,3,13,35,50
1,18,63,29,73
